nids_a_excluir ,razon,fecha
58070149690,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57991203625,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58955758695,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58512668248,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58819382409,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59169614482,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58779175962,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59157438242,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59166609539,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58573157683,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58320964480,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59374829585,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59166981897,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58008115716,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58168411551,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58880091541,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59024187682,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58541699336,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57981590705,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58529943052,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58966020780,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58943824228,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58346351500,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59426713216,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58069231519,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58894335300,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58657824115,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59025705109,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59393279809,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58321985143,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59097137725,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59152114301,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58020824911,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58051744413,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59152257904,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59148603223,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58853590074,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59078595644,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59556092489,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
